x,c_tot
0.00273,0.21725534166445892
0.008379999999999999,0.45947535563925807
0.014195,0.3613935611876699
0.019175,0.2807120827234784
0.02377,0.23885930857401802
0.028885,0.1794771133350206
0.03366,0.11578500952016688
0.03869,0.10229487483283349
0.043625000000000004,0.05839512421573249
0.048850000000000005,0.033869852455781425
0.054360000000000006,0.01431372021832167
0.058800000000000005,0.007660462070203629
0.06321,0.0020359866276465533
0.067585,0.00021329713812182074
0.07166499999999999,0.0
0.075975,0.0
0.08087,0.0
0.08652499999999999,0.0
0.09171,0.0
0.09693,0.0
0.10232000000000001,0.0
