time,c_diss
0.0,0.0
0.838328902,9.613333300000001e-05
1.377912235,6.1733333e-05
1.879995569,6.0933333e-05
2.379995569,5.2233333e-05
2.879995569,7.5633333e-05
3.345273347,3.6033333e-05
3.852217791,4.0333333e-05
4.359162235,3.5733332999999996e-05
4.884162235,3.5933333e-05
5.357773347,3.4333333e-05
5.881384458,3.1533332999999995e-05
6.383467791,3.4533333e-05
6.849440013,2.9133333e-05
7.327912235,6.6833333e-05
8.489717791,0.000229133333
9.504995569,0.000655333333
10.4820789,0.000859733333
11.45221779,0.0009073333329999999
12.44110668,0.001361333333
13.4070789,0.001668833333
14.39110668,0.002228733333
15.42166224,0.0023306333330000003
16.50152335,0.002762933333
18.3945789,0.003063233333
19.37444001,0.0033786333329999998
20.43624557,0.003400233333
21.45846779,0.0036848333329999997
22.49596779,0.003778933333
22.98624557,0.0037414333329999997
23.4195789,0.003724933333
23.98346779,0.004174333333
24.50360668,0.004110933333000001
25.46402335,0.0040109333329999995
25.9383289,0.004445933333
26.42513446,0.004169933333000001
27.04180112,0.004395433333
27.54666224,0.004282933333
28.04180112,0.004421433333000001
28.45291224,0.004495433333
29.03763446,0.004588433333
29.85569001,0.004613933333000001
29.92206733,0.004702433333
30.53624557,0.004757933333000001
30.98416224,0.0048784333330000006
31.4633289,0.004861933333
32.73624557,0.005108433333
33.90569001,0.004829933333
34.75152335,0.0051644333329999995
35.78763446,0.005402933333
36.81610668,0.005251433333
37.96124557,0.005143933333
39.0570789,0.005495433333
39.31541224,0.005449933333
39.824440010000004,0.005494433333
